video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
zFWn5IVLYQk,UCXIJgqnII2ZOINSWNOGFThA,media condemns label chinese coronavirus after using it themselves,Fox News,News & Politics,none,277450,4798,0,2166,2020-03-14T03:36:40Z,"coronavirus,coronavirus media spin,coronavirus news,coronavirus outbreak,coronavirus china,china news,china coronavirus,coronavirus spread,racism,testing kits,docotr,world health organization,WHO,center for disease control,CDC,shannon bream,shannon bream fox news at night,fox news at night,fnc,fox news,fox news channel,fox news media,fox news network,jim acosta chinese coronavirus,chris cuomo chinese coornavirus,jim acosta",PT5M21S,hd,True,https://i.ytimg.com/vi/zFWn5IVLYQk/default.jpg,https://www.youtube.com/watch?v=zFWn5IVLYQk
LmNOVFozyjo,UCXIJgqnII2ZOINSWNOGFThA,how are big cities and large states handling the coronavirus outbreak,Fox News,News & Politics,none,112304,1235,0,438,2020-03-13T03:27:49Z,"politics,fox news @ night,personality,health|infectious_disease,health|infectious_disease|coronavirus,health,politics|state_local,primary_us,health|infectious_disease|outbreaks,personality|shannon_bream,on_air,on_air|fox_news_@night",PT6M28S,hd,True,https://i.ytimg.com/vi/LmNOVFozyjo/default.jpg,https://www.youtube.com/watch?v=LmNOVFozyjo
J0Kavkyn46U,UCXIJgqnII2ZOINSWNOGFThA,dr fauci testifies before senate on coronavirus response,Fox News,News & Politics,none,457024,3078,0,1903,2020-05-12T18:40:27Z,"fnc,fox news,fox news channel,fox news media,fox news network,Fox News live,Fox News senate testimony,Fox News Fauci live,Dr. Fauci,Anthony Fauci,Dr. Anthony Fauci,Fox News live fauci senate,Dr. Fauci testify,senate coronavirus hearing,coronavirus,pandemic,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,fauci senate,fauci senate hearing,fauci testimony",PT3H32M41S,hd,False,https://i.ytimg.com/vi/J0Kavkyn46U/default.jpg,https://www.youtube.com/watch?v=J0Kavkyn46U
EE1iX5HKELA,UCXIJgqnII2ZOINSWNOGFThA,nunes on chinas efforts to shift the narrative on coronavirus pandemic,Fox News,News & Politics,none,280270,3203,0,1899,2020-03-19T03:51:18Z,"politics,fox news @ night,Fox News Channel,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,white house",PT7M35S,hd,True,https://i.ytimg.com/vi/EE1iX5HKELA/default.jpg,https://www.youtube.com/watch?v=EE1iX5HKELA
Oei9_SRfaSw,UCXIJgqnII2ZOINSWNOGFThA,secretary ben carson on efforts to slow the coronavirus pandemic,Fox News,News & Politics,none,174492,2944,0,1034,2020-03-22T01:26:44Z,"politics,Fox News Channel,Fox News,HUD Secretary,Ben Carson,Trump administration,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT5M33S,hd,True,https://i.ytimg.com/vi/Oei9_SRfaSw/default.jpg,https://www.youtube.com/watch?v=Oei9_SRfaSw
DZLQRA5XwPY,UCXIJgqnII2ZOINSWNOGFThA,gun sales skyrocket during coronavirus pandemic,Fox News,News & Politics,none,119508,2217,0,1190,2020-03-18T23:10:00Z,"Gun sales,coronavirus,coronavirus gun sales,gun sale spikes,ammunition sales,coronavirus ammunition sales,coronavirus gun sale spike,safe gun rights,second ammendment,ammunition shortage,William La Jeunesse,fox news coronavirus,fox news coronavirus coverage,looting,marshal law,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus guns,coronavirus outbreak,coronavirus news,pandemic,pandemic fear,coronavirus fear",PT2M3S,hd,True,https://i.ytimg.com/vi/DZLQRA5XwPY/default.jpg,https://www.youtube.com/watch?v=DZLQRA5XwPY
ZOfdGTvBs8A,UCXIJgqnII2ZOINSWNOGFThA,price of pandemic dc restaurant owner on financial cost of coronavirus protective measures,Fox News,News & Politics,none,60037,738,0,407,2020-03-18T05:07:09Z,"fox news @ night,lifestyle,us,Fox News Channel,Fox News,news,politics,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,covid 19,coronavirus cases,coronavirus pandemic,China,Chinese government,us health,global health",PT5M29S,hd,True,https://i.ytimg.com/vi/ZOfdGTvBs8A/default.jpg,https://www.youtube.com/watch?v=ZOfdGTvBs8A
tTcM7KseaC0,UCXIJgqnII2ZOINSWNOGFThA,coronavirus task force unveils new testing process,Fox News,News & Politics,none,65772,706,0,472,2020-03-14T03:37:46Z,"Dr. Marc Seigel,Marc Siegel,Dr. Mark Siegel Fox News,Dr. Siegel,Dr. Siegel fox news,coronavirus marc siegel,shannon bream,shannon bream fox news at night,fox news at night,coronavirus,covid-19,coronavirus scare,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus outbreak,coronavirus update,mike pence,trump coronavirus,virus protection,state of emergency,pandemic,coronavirus test kits,coronavirus pandemic,coronavirus task force",PT2M19S,hd,True,https://i.ytimg.com/vi/tTcM7KseaC0/default.jpg,https://www.youtube.com/watch?v=tTcM7KseaC0
ob5_NvJz1io,UCXIJgqnII2ZOINSWNOGFThA,trump to declare national emergency amid coronavirus pandemic,Fox News,News & Politics,none,796639,7034,0,3514,2020-03-13T16:21:58Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,us news,breaking news,donald trump,coronavirus update,fox news,fox news channel,coronavirus news,trump coronavirus,corona virus,trump on coronavirus,president trump coronavirus,trump coronavirus speech,covid-19 containment,coronavirus latest news,white house today,john roberts,harris faulkner,fox,news,outnumbered,trump news,trump today",PT3M19S,hd,True,https://i.ytimg.com/vi/ob5_NvJz1io/default.jpg,https://www.youtube.com/watch?v=ob5_NvJz1io
-r_C-QsWEak,UCXIJgqnII2ZOINSWNOGFThA,fauci redfield testify before house on coronavirus crisis,Fox News,News & Politics,none,165355,1323,0,609,2020-07-31T17:40:32Z,"Fox News,Fox News Channel,Fox News Channel Live,Fox News Live,House eharing,fox news house hearing,fox news house coronavirus hearing,dr. fauci live,fauci testify,anthony fauci,dr. anthony fauci,fox news fauci testify live,robert redfield,fox news robert redfield live,House Select Subcommittee on the Coronavirus Crisis,live,live stream,fox news house democrats,fox news house republicans",PT3H47M54S,hd,True,https://i.ytimg.com/vi/-r_C-QsWEak/default.jpg,https://www.youtube.com/watch?v=-r_C-QsWEak
fVpbMvz2auY,UCXIJgqnII2ZOINSWNOGFThA,trump delivers message to americas children during coronavirus pandemic,Fox News,News & Politics,none,217917,3258,0,1347,2020-03-27T23:13:52Z,"school,children,coronavirus school closures,trump,president trump,the press,press briefing,coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus task force,coronavirus updates,coronavirus white house press conference live,covid-19,covid-19 pandemic,outbreak,pandemic,trump coronavirus,trump coronavirus task force,fnc,fox news,fox news channel,fox news media,fox news network,education coronavirus",PT2M45S,hd,True,https://i.ytimg.com/vi/fVpbMvz2auY/default.jpg,https://www.youtube.com/watch?v=fVpbMvz2auY
jTspYIVHFRs,UCXIJgqnII2ZOINSWNOGFThA,giuliani weighs in on cuomo trump relationship amid coronavirus pandemic,Fox News,News & Politics,none,331898,4220,0,2679,2020-03-28T03:40:00Z,"Rudy Giuliani,Giuliani,Rudy Giuliani New York,Rudy Giuliani coronavirus,Rudy Giuliani andrew cuomo,Rudy Giuliani bill de blasio,prisoners released,prisoners coronavirus,laura ingraham,laura ingraham tonight,ingraham angle,ingraham angle tonight,coronavirus,covid-19,coronavirus outbreak,new york coronavirus,cuomo coronavirus response,donald trump coronavirus,coronavirus pandemic,pandemic,rudy giuliani donald trump,coronavirus treatments",PT6M17S,hd,True,https://i.ytimg.com/vi/jTspYIVHFRs/default.jpg,https://www.youtube.com/watch?v=jTspYIVHFRs
jXHikITwlng,UCXIJgqnII2ZOINSWNOGFThA,bill gates on his  virus warning efforts to fight coronavirus pandemic,Fox News,News & Politics,none,888517,8175,0,12210,2020-04-05T18:50:02Z,"Fox News Channel,Fox News,News,fox news sunday,health,tech,Fox News Sunday,Chris Wallce,Bill Gates,Bill and Melinda Gates,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,social distancing,white house,coronavirus relief bill",PT12M29S,hd,True,https://i.ytimg.com/vi/jXHikITwlng/default.jpg,https://www.youtube.com/watch?v=jXHikITwlng
0sDAuWZPR-4,UCXIJgqnII2ZOINSWNOGFThA,hannity facts without fear amid coronavirus pandemic,Fox News,News & Politics,none,246942,5541,0,2250,2020-03-21T02:56:21Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Sean Hannity,Hannity,Sean Hannity Monologue,Hannity Monologue,Sean Hannity Monologue TOnight,Hannity Monologue Tonight,Hannity china,hannity coronavirus,coronavirus outbreak,coronavirus pandemic,national emergency trump,china government lies,china goverment covers up coronavirus,china,dr. fauci,anthony fauci,dr. anthony fauci,hannity tonight,media coronavirus,joe biden,covid 19",PT16M46S,hd,False,https://i.ytimg.com/vi/0sDAuWZPR-4/default.jpg,https://www.youtube.com/watch?v=0sDAuWZPR-4
Pw9p0w_hCNg,UCXIJgqnII2ZOINSWNOGFThA,tucker coronavirus pandemic response will require balance,Fox News,News & Politics,none,455769,10461,0,3529,2020-03-17T01:12:09Z,"Tucker Carlson,Tucker Monologue,Tucker Tonight,Tucker Carlson Tonight,Tucker Monologue Tonight,Tucker Carlson Monologue,TUcker Carlson reacts,Tucker carlson reacts to coronavirus,mitt romney,mitt romney coronavirus,coronavirus response,coronavirus,coronavirus vaccine,job market,economy,coronavirus ecomony,coronavirus outbreak,coronavirus pandemic,coronavirus news,pandemic,airline industry,hourly workers,president trump coronavirus plan,trump speech",PT7M29S,hd,True,https://i.ytimg.com/vi/Pw9p0w_hCNg/default.jpg,https://www.youtube.com/watch?v=Pw9p0w_hCNg
EZ2TPymcdL4,UCXIJgqnII2ZOINSWNOGFThA,trump says us is on wartime footing in battle against coronavirus pandemic,Fox News,News & Politics,none,212835,2476,0,1478,2020-03-18T22:29:03Z,"President Trump,Donald Trump,Donald Trump coronavirus,coronavirus outbreak,coronavirus,coronavirus pandemic,trump press conference,coronavirus task force,trump coronavirus task force,mike pence,vice president mike pence,pence,trump,john roberts,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus update,pandemic,public health,trump coronavirus,coronavirus us,us coronavirus,stock market news,covid-19 us",PT3M37S,hd,True,https://i.ytimg.com/vi/EZ2TPymcdL4/default.jpg,https://www.youtube.com/watch?v=EZ2TPymcdL4
ebtpY4jZ9ds,UCXIJgqnII2ZOINSWNOGFThA,new study details lifespan of coronavirus in air on surfaces,Fox News,News & Politics,none,90779,1316,0,338,2020-03-19T16:08:27Z,"Fox News Channel,Fox News,News,health,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,white house,coronavirus relief bill,social distancing",PT2M,hd,True,https://i.ytimg.com/vi/ebtpY4jZ9ds/default.jpg,https://www.youtube.com/watch?v=ebtpY4jZ9ds
rqExfCNvDa0,UCXIJgqnII2ZOINSWNOGFThA,hannity the cure cannot be worse than the coronavirus crisis itself,Fox News,News & Politics,none,249269,4325,0,2806,2020-04-07T02:30:04Z,"Hannity coronavirus,Andrew Cuomo,Cuomo,Hannity andrew cuomo,coronavirus economy,coronavirus economic impact,coronavirus decline,coroanvirus model,andrew cuomo sean hannity,nyc coronavirus,bill de blasio,coronavirus,coronavirus outbreak,coronavirus pandemic,covid-19,fox news live,pandemic,hannity,hannity monologue,hannity tonight,sean hannity,sean hannity monologue,sean hannity reacts,sean hannity tonight,fnc,fox news,fox news channel,fox news network",PT13M28S,hd,True,https://i.ytimg.com/vi/rqExfCNvDa0/default.jpg,https://www.youtube.com/watch?v=rqExfCNvDa0
B6MURuLUetE,UCXIJgqnII2ZOINSWNOGFThA,mnuchin on toll coronavirus pandemic is taking on us economy,Fox News,News & Politics,none,224983,2262,0,1895,2020-05-10T18:22:33Z,"Fox News Channel,Fox News,News,fox news sunday,politics,coronavirus,Donald Trump,small business aid program,small businesses,stay at home protests,Nancy Pelosi,Small business relief,Social distancing,Covid19,pay protection program,PPP,Stimulus check,reopening economy,Treasury Department,Steve Mnuchin,Trump economic task force,economic task force,us economy,coronavirus economy,state orders,state restrictions,government orders,stay at home orders",PT11M27S,hd,True,https://i.ytimg.com/vi/B6MURuLUetE/default.jpg,https://www.youtube.com/watch?v=B6MURuLUetE
YK_gq3PC7TE,UC16niRr50-MSBwiO3YDb3RA,coronavirus disease named covid  bbc news,BBC News,News & Politics,none,900694,6905,0,2504,2020-02-12T07:17:42Z,"bbc,bbc news,news",PT9M38S,hd,False,https://i.ytimg.com/vi/YK_gq3PC7TE/default.jpg,https://www.youtube.com/watch?v=YK_gq3PC7TE
ArFQdvF8vDE,UC16niRr50-MSBwiO3YDb3RA,coronavirus explained in  seconds  bbc news,BBC News,News & Politics,none,328358,2380,0,272,2020-03-19T12:27:10Z,"bbc,bbc news,news,China coronavirus,coronavirus,coronavirus news,coronavirus symptoms,coronavirus latest,coronavirus cases,coronavirus deaths,corona virus,corona virus news,corona virus latest,china news,chinese news,world TV,BBC World,world news,covid 19,covid-19,Coronavirus Explained,corona virus US,corona Virus trump,donald trump,president trump,corona",PT1M23S,hd,False,https://i.ytimg.com/vi/ArFQdvF8vDE/default.jpg,https://www.youtube.com/watch?v=ArFQdvF8vDE
gtf9j06EOvo,UC16niRr50-MSBwiO3YDb3RA,coronavirus nations heading in wrong direction with covid says who  bbc news,BBC News,News & Politics,none,111822,820,0,783,2020-07-14T11:19:56Z,"bbc,bbc news,news",PT9M40S,hd,False,https://i.ytimg.com/vi/gtf9j06EOvo/default.jpg,https://www.youtube.com/watch?v=gtf9j06EOvo
6CajGH3Q5RU,UC16niRr50-MSBwiO3YDb3RA,coronavirus pregnancy during a pandemic is terrifying  bbc news,BBC News,News & Politics,none,34209,515,0,0,2020-04-07T10:15:44Z,"bbc,bbc news,news,coronavirus,covid-19,United states,pregnancy,birth,health,pandemic",PT3M55S,hd,False,https://i.ytimg.com/vi/6CajGH3Q5RU/default.jpg,https://www.youtube.com/watch?v=6CajGH3Q5RU
CuneZ1LhbQ0,UC16niRr50-MSBwiO3YDb3RA,coronavirus brazil records thirdhighest covid infection level  bbc news,BBC News,News & Politics,none,96170,673,0,262,2020-05-20T10:27:04Z,"bbc,bbc news,news",PT5M31S,hd,False,https://i.ytimg.com/vi/CuneZ1LhbQ0/default.jpg,https://www.youtube.com/watch?v=CuneZ1LhbQ0
gXvSUiR2u2I,UC16niRr50-MSBwiO3YDb3RA,coronavirus can track and trace deliver and can we trust it  bbc news,BBC News,News & Politics,none,57058,407,0,204,2020-06-18T20:41:10Z,"bbc,bbc news,news,coronavirus,covid-19,health,pandemic,track and trace,lockdown,world news,Outside Source,Ros Atkins,technology,app",PT4M34S,hd,False,https://i.ytimg.com/vi/gXvSUiR2u2I/default.jpg,https://www.youtube.com/watch?v=gXvSUiR2u2I
